slide_path,output_dir,status,elapsed_seconds,log_path
"/data_g1/AI_projects/raw_data/PCITB_CRC/HE_raw_images/Tumor/TMA3/TMA 3 Level 1_Core[1,24,10]_[10263,57002].tif","/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 3 Level 1_Core[1,24,10]_[10263,57002]",success,23.2,"/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 3 Level 1_Core[1,24,10]_[10263,57002]/batch_run.log"
"/data_g1/AI_projects/raw_data/PCITB_CRC/HE_raw_images/Tumor/TMA3/TMA 3 Level 1_Core[1,24,11]_[9398,56879].tif","/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 3 Level 1_Core[1,24,11]_[9398,56879]",success,21.6,"/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 3 Level 1_Core[1,24,11]_[9398,56879]/batch_run.log"
"/data_g1/AI_projects/raw_data/PCITB_CRC/HE_raw_images/Tumor/TMA3/TMA 3 Level 1_Core[1,24,1]_[18176,57645].tif","/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 3 Level 1_Core[1,24,1]_[18176,57645]",success,22.9,"/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 3 Level 1_Core[1,24,1]_[18176,57645]/batch_run.log"
"/data_g1/AI_projects/raw_data/PCITB_CRC/HE_raw_images/Tumor/TMA3/TMA 3 Level 1_Core[1,24,12]_[8458,56829].tif","/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 3 Level 1_Core[1,24,12]_[8458,56829]",success,23.0,"/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 3 Level 1_Core[1,24,12]_[8458,56829]/batch_run.log"
"/data_g1/AI_projects/raw_data/PCITB_CRC/HE_raw_images/Tumor/TMA3/TMA 3 Level 16_Core[1,24,10]_[8567,56296].tif","/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 3 Level 16_Core[1,24,10]_[8567,56296]",success,23.3,"/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 3 Level 16_Core[1,24,10]_[8567,56296]/batch_run.log"
"/data_g1/AI_projects/raw_data/PCITB_CRC/HE_raw_images/Tumor/TMA3/TMA 3 Level 16_Core[1,24,13]_[5921,56048].tif","/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 3 Level 16_Core[1,24,13]_[5921,56048]",success,20.8,"/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 3 Level 16_Core[1,24,13]_[5921,56048]/batch_run.log"
"/data_g1/AI_projects/raw_data/PCITB_CRC/HE_raw_images/Tumor/TMA3/TMA 3 Level 1_Core[1,24,2]_[17187,57472].tif","/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 3 Level 1_Core[1,24,2]_[17187,57472]",success,21.3,"/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 3 Level 1_Core[1,24,2]_[17187,57472]/batch_run.log"
"/data_g1/AI_projects/raw_data/PCITB_CRC/HE_raw_images/Tumor/TMA3/TMA 3 Level 16_Core[1,24,2]_[15516,56766].tif","/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 3 Level 16_Core[1,24,2]_[15516,56766]",success,21.9,"/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 3 Level 16_Core[1,24,2]_[15516,56766]/batch_run.log"
"/data_g1/AI_projects/raw_data/PCITB_CRC/HE_raw_images/Tumor/TMA3/TMA 3 Level 1_Core[1,24,3]_[16371,57571].tif","/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 3 Level 1_Core[1,24,3]_[16371,57571]",success,21.5,"/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 3 Level 1_Core[1,24,3]_[16371,57571]/batch_run.log"
"/data_g1/AI_projects/raw_data/PCITB_CRC/HE_raw_images/Tumor/TMA3/TMA 3 Level 16_Core[1,24,12]_[6762,56123].tif","/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 3 Level 16_Core[1,24,12]_[6762,56123]",success,21.9,"/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 3 Level 16_Core[1,24,12]_[6762,56123]/batch_run.log"
"/data_g1/AI_projects/raw_data/PCITB_CRC/HE_raw_images/Tumor/TMA3/TMA 3 Level 16_Core[1,24,14]_[5056,55950].tif","/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 3 Level 16_Core[1,24,14]_[5056,55950]",success,22.1,"/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 3 Level 16_Core[1,24,14]_[5056,55950]/batch_run.log"
"/data_g1/AI_projects/raw_data/PCITB_CRC/HE_raw_images/Tumor/TMA3/TMA 3 Level 1_Core[1,24,4]_[15530,57522].tif","/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 3 Level 1_Core[1,24,4]_[15530,57522]",success,22.2,"/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 3 Level 1_Core[1,24,4]_[15530,57522]/batch_run.log"
"/data_g1/AI_projects/raw_data/PCITB_CRC/HE_raw_images/Tumor/TMA3/TMA 3 Level 1_Core[1,24,5]_[14714,57373].tif","/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 3 Level 1_Core[1,24,5]_[14714,57373]",success,22.0,"/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 3 Level 1_Core[1,24,5]_[14714,57373]/batch_run.log"
"/data_g1/AI_projects/raw_data/PCITB_CRC/HE_raw_images/Tumor/TMA3/TMA 3 Level 16_Core[1,24,5]_[12944,56741].tif","/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 3 Level 16_Core[1,24,5]_[12944,56741]",success,21.8,"/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 3 Level 16_Core[1,24,5]_[12944,56741]/batch_run.log"
"/data_g1/AI_projects/raw_data/PCITB_CRC/HE_raw_images/Tumor/TMA3/TMA 3 Level 16_Core[1,24,6]_[11831,56518].tif","/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 3 Level 16_Core[1,24,6]_[11831,56518]",success,21.8,"/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 3 Level 16_Core[1,24,6]_[11831,56518]/batch_run.log"
"/data_g1/AI_projects/raw_data/PCITB_CRC/HE_raw_images/Tumor/TMA3/TMA 3 Level 16_Core[1,24,3]_[14675,56815].tif","/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 3 Level 16_Core[1,24,3]_[14675,56815]",success,21.7,"/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 3 Level 16_Core[1,24,3]_[14675,56815]/batch_run.log"
"/data_g1/AI_projects/raw_data/PCITB_CRC/HE_raw_images/Tumor/TMA3/TMA 3 Level 16_Core[1,24,4]_[13810,56864].tif","/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 3 Level 16_Core[1,24,4]_[13810,56864]",success,21.8,"/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 3 Level 16_Core[1,24,4]_[13810,56864]/batch_run.log"
"/data_g1/AI_projects/raw_data/PCITB_CRC/HE_raw_images/Tumor/TMA3/TMA 3 Level 1_Core[1,25,1]_[18126,58511].tif","/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 3 Level 1_Core[1,25,1]_[18126,58511]",success,21.3,"/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 3 Level 1_Core[1,25,1]_[18126,58511]/batch_run.log"
"/data_g1/AI_projects/raw_data/PCITB_CRC/HE_raw_images/Tumor/TMA3/TMA 3 Level 1_Core[1,24,9]_[11178,57052].tif","/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 3 Level 1_Core[1,24,9]_[11178,57052]",success,21.7,"/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 3 Level 1_Core[1,24,9]_[11178,57052]/batch_run.log"
"/data_g1/AI_projects/raw_data/PCITB_CRC/HE_raw_images/Tumor/TMA3/TMA 3 Level 16_Core[1,25,1]_[16431,57854].tif","/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 3 Level 16_Core[1,25,1]_[16431,57854]",success,21.1,"/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 3 Level 16_Core[1,25,1]_[16431,57854]/batch_run.log"
"/data_g1/AI_projects/raw_data/PCITB_CRC/HE_raw_images/Tumor/TMA3/TMA 3 Level 1_Core[1,24,6]_[13552,57225].tif","/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 3 Level 1_Core[1,24,6]_[13552,57225]",success,20.8,"/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 3 Level 1_Core[1,24,6]_[13552,57225]/batch_run.log"
"/data_g1/AI_projects/raw_data/PCITB_CRC/HE_raw_images/Tumor/TMA3/TMA 3 Level 16_Core[1,25,10]_[8518,57211].tif","/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 3 Level 16_Core[1,25,10]_[8518,57211]",success,21.5,"/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 3 Level 16_Core[1,25,10]_[8518,57211]/batch_run.log"
"/data_g1/AI_projects/raw_data/PCITB_CRC/HE_raw_images/Tumor/TMA3/TMA 3 Level 16_Core[1,24,9]_[9458,56345].tif","/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 3 Level 16_Core[1,24,9]_[9458,56345]",success,21.2,"/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 3 Level 16_Core[1,24,9]_[9458,56345]/batch_run.log"
"/data_g1/AI_projects/raw_data/PCITB_CRC/HE_raw_images/Tumor/TMA3/TMA 3 Level 16_Core[1,25,11]_[7628,57112].tif","/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 3 Level 16_Core[1,25,11]_[7628,57112]",success,22.6,"/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 3 Level 16_Core[1,25,11]_[7628,57112]/batch_run.log"
