slide_path,output_dir,status,elapsed_seconds,log_path
"/data_g1/AI_projects/raw_data/PCITB_CRC/HE_raw_images/Tumor/TMA4/TMA 4 Level 16_Core[1,10,17]_[4593,48488].tif","/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 16_Core[1,10,17]_[4593,48488]",success,21.7,"/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 16_Core[1,10,17]_[4593,48488]/batch_run.log"
"/data_g1/AI_projects/raw_data/PCITB_CRC/HE_raw_images/Tumor/TMA4/TMA 4 Level 16_Core[1,10,19]_[2688,48661].tif","/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 16_Core[1,10,19]_[2688,48661]",success,21.1,"/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 16_Core[1,10,19]_[2688,48661]/batch_run.log"
"/data_g1/AI_projects/raw_data/PCITB_CRC/HE_raw_images/Tumor/TMA4/TMA 4 Level 16_Core[1,10,20]_[1675,48587].tif","/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 16_Core[1,10,20]_[1675,48587]",success,20.9,"/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 16_Core[1,10,20]_[1675,48587]/batch_run.log"
"/data_g1/AI_projects/raw_data/PCITB_CRC/HE_raw_images/Tumor/TMA4/TMA 4 Level 1_Core[1,10,20]_[2404,47635].tif","/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 1_Core[1,10,20]_[2404,47635]",success,20.5,"/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 1_Core[1,10,20]_[2404,47635]/batch_run.log"
"/data_g1/AI_projects/raw_data/PCITB_CRC/HE_raw_images/Tumor/TMA4/TMA 4 Level 16_Core[1,10,2]_[18490,48463].tif","/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 16_Core[1,10,2]_[18490,48463]",success,22.1,"/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 16_Core[1,10,2]_[18490,48463]/batch_run.log"
"/data_g1/AI_projects/raw_data/PCITB_CRC/HE_raw_images/Tumor/TMA4/TMA 4 Level 1_Core[1,10,2]_[19268,47239].tif","/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 1_Core[1,10,2]_[19268,47239]",success,22.1,"/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 1_Core[1,10,2]_[19268,47239]/batch_run.log"
"/data_g1/AI_projects/raw_data/PCITB_CRC/HE_raw_images/Tumor/TMA4/TMA 4 Level 16_Core[1,10,3]_[17575,48513].tif","/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 16_Core[1,10,3]_[17575,48513]",success,23.2,"/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 16_Core[1,10,3]_[17575,48513]/batch_run.log"
"/data_g1/AI_projects/raw_data/PCITB_CRC/HE_raw_images/Tumor/TMA4/TMA 4 Level 1_Core[1,10,3]_[18230,47338].tif","/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 1_Core[1,10,3]_[18230,47338]",success,22.3,"/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 1_Core[1,10,3]_[18230,47338]/batch_run.log"
"/data_g1/AI_projects/raw_data/PCITB_CRC/HE_raw_images/Tumor/TMA4/TMA 4 Level 16_Core[1,10,7]_[13964,48463].tif","/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 16_Core[1,10,7]_[13964,48463]",success,25.5,"/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 16_Core[1,10,7]_[13964,48463]/batch_run.log"
"/data_g1/AI_projects/raw_data/PCITB_CRC/HE_raw_images/Tumor/TMA4/TMA 4 Level 1_Core[1,10,7]_[14694,47338].tif","/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 1_Core[1,10,7]_[14694,47338]",success,23.4,"/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 1_Core[1,10,7]_[14694,47338]/batch_run.log"
"/data_g1/AI_projects/raw_data/PCITB_CRC/HE_raw_images/Tumor/TMA4/TMA 4 Level 16_Core[1,10,6]_[14879,48463].tif","/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 16_Core[1,10,6]_[14879,48463]",success,25.2,"/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 16_Core[1,10,6]_[14879,48463]/batch_run.log"
"/data_g1/AI_projects/raw_data/PCITB_CRC/HE_raw_images/Tumor/TMA4/TMA 4 Level 1_Core[1,10,6]_[15609,47215].tif","/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 1_Core[1,10,6]_[15609,47215]",success,25.1,"/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 1_Core[1,10,6]_[15609,47215]/batch_run.log"
"/data_g1/AI_projects/raw_data/PCITB_CRC/HE_raw_images/Tumor/TMA4/TMA 4 Level 1_Core[1,10,8]_[13730,47487].tif","/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 1_Core[1,10,8]_[13730,47487]",success,25.8,"/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 1_Core[1,10,8]_[13730,47487]/batch_run.log"
"/data_g1/AI_projects/raw_data/PCITB_CRC/HE_raw_images/Tumor/TMA4/TMA 4 Level 16_Core[1,10,8]_[12901,48661].tif","/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 16_Core[1,10,8]_[12901,48661]",success,25.6,"/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 16_Core[1,10,8]_[12901,48661]/batch_run.log"
"/data_g1/AI_projects/raw_data/PCITB_CRC/HE_raw_images/Tumor/TMA4/TMA 4 Level 1_Core[1,11,12]_[9921,48402].tif","/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 1_Core[1,11,12]_[9921,48402]",success,21.6,"/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 1_Core[1,11,12]_[9921,48402]/batch_run.log"
"/data_g1/AI_projects/raw_data/PCITB_CRC/HE_raw_images/Tumor/TMA4/TMA 4 Level 16_Core[1,11,12]_[9217,49378].tif","/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 16_Core[1,11,12]_[9217,49378]",success,21.5,"/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 16_Core[1,11,12]_[9217,49378]/batch_run.log"
"/data_g1/AI_projects/raw_data/PCITB_CRC/HE_raw_images/Tumor/TMA4/TMA 4 Level 1_Core[1,10,9]_[12938,47388].tif","/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 1_Core[1,10,9]_[12938,47388]",success,22.5,"/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 1_Core[1,10,9]_[12938,47388]/batch_run.log"
"/data_g1/AI_projects/raw_data/PCITB_CRC/HE_raw_images/Tumor/TMA4/TMA 4 Level 16_Core[1,10,9]_[12233,48488].tif","/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 16_Core[1,10,9]_[12233,48488]",success,22.5,"/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 16_Core[1,10,9]_[12233,48488]/batch_run.log"
"/data_g1/AI_projects/raw_data/PCITB_CRC/HE_raw_images/Tumor/TMA4/TMA 4 Level 16_Core[1,11,14]_[7263,49452].tif","/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 16_Core[1,11,14]_[7263,49452]",success,22.0,"/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 16_Core[1,11,14]_[7263,49452]/batch_run.log"
"/data_g1/AI_projects/raw_data/PCITB_CRC/HE_raw_images/Tumor/TMA4/TMA 4 Level 16_Core[1,11,18]_[3579,49354].tif","/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 16_Core[1,11,18]_[3579,49354]",success,22.9,"/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 16_Core[1,11,18]_[3579,49354]/batch_run.log"
"/data_g1/AI_projects/raw_data/PCITB_CRC/HE_raw_images/Tumor/TMA4/TMA 4 Level 16_Core[1,11,20]_[1683,49389].tif","/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 16_Core[1,11,20]_[1683,49389]",success,25.1,"/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 16_Core[1,11,20]_[1683,49389]/batch_run.log"
"/data_g1/AI_projects/raw_data/PCITB_CRC/HE_raw_images/Tumor/TMA4/TMA 4 Level 1_Core[1,11,2]_[19293,48228].tif","/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 1_Core[1,11,2]_[19293,48228]",success,25.5,"/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 1_Core[1,11,2]_[19293,48228]/batch_run.log"
"/data_g1/AI_projects/raw_data/PCITB_CRC/HE_raw_images/Tumor/TMA4/TMA 4 Level 16_Core[1,11,2]_[18687,49354].tif","/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 16_Core[1,11,2]_[18687,49354]",success,24.3,"/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 16_Core[1,11,2]_[18687,49354]/batch_run.log"
"/data_g1/AI_projects/raw_data/PCITB_CRC/HE_raw_images/Tumor/TMA4/TMA 4 Level 1_Core[1,11,18]_[4358,48402].tif","/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 1_Core[1,11,18]_[4358,48402]",success,24.7,"/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 1_Core[1,11,18]_[4358,48402]/batch_run.log"
"/data_g1/AI_projects/raw_data/PCITB_CRC/HE_raw_images/Tumor/TMA4/TMA 4 Level 1_Core[1,11,6]_[15732,48130].tif","/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 1_Core[1,11,6]_[15732,48130]",success,25.4,"/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 1_Core[1,11,6]_[15732,48130]/batch_run.log"
"/data_g1/AI_projects/raw_data/PCITB_CRC/HE_raw_images/Tumor/TMA4/TMA 4 Level 16_Core[1,11,6]_[14904,49329].tif","/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 16_Core[1,11,6]_[14904,49329]",success,25.2,"/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 16_Core[1,11,6]_[14904,49329]/batch_run.log"
"/data_g1/AI_projects/raw_data/PCITB_CRC/HE_raw_images/Tumor/TMA4/TMA 4 Level 16_Core[1,12,1]_[19701,50367].tif","/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 16_Core[1,12,1]_[19701,50367]",success,21.8,"/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 16_Core[1,12,1]_[19701,50367]/batch_run.log"
"/data_g1/AI_projects/raw_data/PCITB_CRC/HE_raw_images/Tumor/TMA4/TMA 4 Level 1_Core[1,12,1]_[20307,49218].tif","/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 1_Core[1,12,1]_[20307,49218]",success,21.8,"/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 1_Core[1,12,1]_[20307,49218]/batch_run.log"
"/data_g1/AI_projects/raw_data/PCITB_CRC/HE_raw_images/Tumor/TMA4/TMA 4 Level 16_Core[1,11,8]_[13124,49403].tif","/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 16_Core[1,11,8]_[13124,49403]",success,22.1,"/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 16_Core[1,11,8]_[13124,49403]/batch_run.log"
"/data_g1/AI_projects/raw_data/PCITB_CRC/HE_raw_images/Tumor/TMA4/TMA 4 Level 1_Core[1,11,8]_[13853,48278].tif","/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 1_Core[1,11,8]_[13853,48278]",success,22.0,"/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 1_Core[1,11,8]_[13853,48278]/batch_run.log"
"/data_g1/AI_projects/raw_data/PCITB_CRC/HE_raw_images/Tumor/TMA4/TMA 4 Level 1_Core[1,12,10]_[11998,49292].tif","/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 1_Core[1,12,10]_[11998,49292]",success,22.5,"/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 1_Core[1,12,10]_[11998,49292]/batch_run.log"
"/data_g1/AI_projects/raw_data/PCITB_CRC/HE_raw_images/Tumor/TMA4/TMA 4 Level 16_Core[1,12,10]_[11244,50343].tif","/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 16_Core[1,12,10]_[11244,50343]",success,22.2,"/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 16_Core[1,12,10]_[11244,50343]/batch_run.log"
"/data_g1/AI_projects/raw_data/PCITB_CRC/HE_raw_images/Tumor/TMA4/TMA 4 Level 16_Core[1,12,13]_[8326,50219].tif","/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 16_Core[1,12,13]_[8326,50219]",success,23.4,"/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 16_Core[1,12,13]_[8326,50219]/batch_run.log"
"/data_g1/AI_projects/raw_data/PCITB_CRC/HE_raw_images/Tumor/TMA4/TMA 4 Level 1_Core[1,12,12]_[9971,49292].tif","/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 1_Core[1,12,12]_[9971,49292]",success,22.5,"/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 1_Core[1,12,12]_[9971,49292]/batch_run.log"
"/data_g1/AI_projects/raw_data/PCITB_CRC/HE_raw_images/Tumor/TMA4/TMA 4 Level 16_Core[1,12,12]_[9241,50219].tif","/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 16_Core[1,12,12]_[9241,50219]",success,22.3,"/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 16_Core[1,12,12]_[9241,50219]/batch_run.log"
"/data_g1/AI_projects/raw_data/PCITB_CRC/HE_raw_images/Tumor/TMA4/TMA 4 Level 16_Core[1,12,11]_[10132,50244].tif","/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 16_Core[1,12,11]_[10132,50244]",success,21.9,"/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 16_Core[1,12,11]_[10132,50244]/batch_run.log"
"/data_g1/AI_projects/raw_data/PCITB_CRC/HE_raw_images/Tumor/TMA4/TMA 4 Level 1_Core[1,12,14]_[8116,49341].tif","/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 1_Core[1,12,14]_[8116,49341]",success,21.3,"/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 1_Core[1,12,14]_[8116,49341]/batch_run.log"
"/data_g1/AI_projects/raw_data/PCITB_CRC/HE_raw_images/Tumor/TMA4/TMA 4 Level 1_Core[1,12,13]_[8982,49267].tif","/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 1_Core[1,12,13]_[8982,49267]",success,23.0,"/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 1_Core[1,12,13]_[8982,49267]/batch_run.log"
"/data_g1/AI_projects/raw_data/PCITB_CRC/HE_raw_images/Tumor/TMA4/TMA 4 Level 16_Core[1,12,17]_[4593,50244].tif","/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 16_Core[1,12,17]_[4593,50244]",success,22.6,"/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 16_Core[1,12,17]_[4593,50244]/batch_run.log"
"/data_g1/AI_projects/raw_data/PCITB_CRC/HE_raw_images/Tumor/TMA4/TMA 4 Level 16_Core[1,12,15]_[6422,50268].tif","/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 16_Core[1,12,15]_[6422,50268]",success,22.7,"/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 16_Core[1,12,15]_[6422,50268]/batch_run.log"
"/data_g1/AI_projects/raw_data/PCITB_CRC/HE_raw_images/Tumor/TMA4/TMA 4 Level 16_Core[1,12,14]_[7362,50293].tif","/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 16_Core[1,12,14]_[7362,50293]",success,22.3,"/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 16_Core[1,12,14]_[7362,50293]/batch_run.log"
"/data_g1/AI_projects/raw_data/PCITB_CRC/HE_raw_images/Tumor/TMA4/TMA 4 Level 1_Core[1,12,15]_[7152,49366].tif","/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 1_Core[1,12,15]_[7152,49366]",success,22.6,"/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 1_Core[1,12,15]_[7152,49366]/batch_run.log"
"/data_g1/AI_projects/raw_data/PCITB_CRC/HE_raw_images/Tumor/TMA4/TMA 4 Level 16_Core[1,12,18]_[3727,50268].tif","/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 16_Core[1,12,18]_[3727,50268]",success,21.4,"/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 16_Core[1,12,18]_[3727,50268]/batch_run.log"
"/data_g1/AI_projects/raw_data/PCITB_CRC/HE_raw_images/Tumor/TMA4/TMA 4 Level 1_Core[1,12,17]_[5396,49366].tif","/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 1_Core[1,12,17]_[5396,49366]",success,21.5,"/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 1_Core[1,12,17]_[5396,49366]/batch_run.log"
"/data_g1/AI_projects/raw_data/PCITB_CRC/HE_raw_images/Tumor/TMA4/TMA 4 Level 1_Core[1,12,20]_[2503,49245].tif","/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 1_Core[1,12,20]_[2503,49245]",success,22.5,"/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 1_Core[1,12,20]_[2503,49245]/batch_run.log"
"/data_g1/AI_projects/raw_data/PCITB_CRC/HE_raw_images/Tumor/TMA4/TMA 4 Level 16_Core[1,12,2]_[18638,50293].tif","/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 16_Core[1,12,2]_[18638,50293]",success,23.2,"/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 16_Core[1,12,2]_[18638,50293]/batch_run.log"
"/data_g1/AI_projects/raw_data/PCITB_CRC/HE_raw_images/Tumor/TMA4/TMA 4 Level 16_Core[1,12,19]_[2911,50244].tif","/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 16_Core[1,12,19]_[2911,50244]",success,21.5,"/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 16_Core[1,12,19]_[2911,50244]/batch_run.log"
"/data_g1/AI_projects/raw_data/PCITB_CRC/HE_raw_images/Tumor/TMA4/TMA 4 Level 1_Core[1,12,2]_[19219,49193].tif","/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 1_Core[1,12,2]_[19219,49193]",success,22.6,"/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 1_Core[1,12,2]_[19219,49193]/batch_run.log"
"/data_g1/AI_projects/raw_data/PCITB_CRC/HE_raw_images/Tumor/TMA4/TMA 4 Level 16_Core[1,12,3]_[17575,50244].tif","/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 16_Core[1,12,3]_[17575,50244]",success,22.6,"/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 16_Core[1,12,3]_[17575,50244]/batch_run.log"
"/data_g1/AI_projects/raw_data/PCITB_CRC/HE_raw_images/Tumor/TMA4/TMA 4 Level 1_Core[1,12,3]_[18279,49119].tif","/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 1_Core[1,12,3]_[18279,49119]",success,21.8,"/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 1_Core[1,12,3]_[18279,49119]/batch_run.log"
"/data_g1/AI_projects/raw_data/PCITB_CRC/HE_raw_images/Tumor/TMA4/TMA 4 Level 16_Core[1,12,6]_[14879,50244].tif","/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 16_Core[1,12,6]_[14879,50244]",success,21.0,"/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 16_Core[1,12,6]_[14879,50244]/batch_run.log"
"/data_g1/AI_projects/raw_data/PCITB_CRC/HE_raw_images/Tumor/TMA4/TMA 4 Level 1_Core[1,12,6]_[15584,49218].tif","/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 1_Core[1,12,6]_[15584,49218]",success,21.5,"/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 1_Core[1,12,6]_[15584,49218]/batch_run.log"
"/data_g1/AI_projects/raw_data/PCITB_CRC/HE_raw_images/Tumor/TMA4/TMA 4 Level 1_Core[1,12,5]_[16573,49143].tif","/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 1_Core[1,12,5]_[16573,49143]",success,21.2,"/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 1_Core[1,12,5]_[16573,49143]/batch_run.log"
"/data_g1/AI_projects/raw_data/PCITB_CRC/HE_raw_images/Tumor/TMA4/TMA 4 Level 16_Core[1,12,5]_[15794,50170].tif","/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 16_Core[1,12,5]_[15794,50170]",success,21.2,"/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 16_Core[1,12,5]_[15794,50170]/batch_run.log"
"/data_g1/AI_projects/raw_data/PCITB_CRC/HE_raw_images/Tumor/TMA4/TMA 4 Level 16_Core[1,12,7]_[13940,50170].tif","/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 16_Core[1,12,7]_[13940,50170]",success,21.7,"/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 16_Core[1,12,7]_[13940,50170]/batch_run.log"
"/data_g1/AI_projects/raw_data/PCITB_CRC/HE_raw_images/Tumor/TMA4/TMA 4 Level 1_Core[1,12,7]_[14694,49094].tif","/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 1_Core[1,12,7]_[14694,49094]",success,21.4,"/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 1_Core[1,12,7]_[14694,49094]/batch_run.log"
"/data_g1/AI_projects/raw_data/PCITB_CRC/HE_raw_images/Tumor/TMA4/TMA 4 Level 1_Core[1,12,9]_[12938,49218].tif","/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 1_Core[1,12,9]_[12938,49218]",success,21.7,"/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 1_Core[1,12,9]_[12938,49218]/batch_run.log"
"/data_g1/AI_projects/raw_data/PCITB_CRC/HE_raw_images/Tumor/TMA4/TMA 4 Level 16_Core[1,12,9]_[12134,50293].tif","/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 16_Core[1,12,9]_[12134,50293]",success,21.6,"/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 16_Core[1,12,9]_[12134,50293]/batch_run.log"
"/data_g1/AI_projects/raw_data/PCITB_CRC/HE_raw_images/Tumor/TMA4/TMA 4 Level 1_Core[1,12,8]_[13828,49168].tif","/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 1_Core[1,12,8]_[13828,49168]",success,22.1,"/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 1_Core[1,12,8]_[13828,49168]/batch_run.log"
"/data_g1/AI_projects/raw_data/PCITB_CRC/HE_raw_images/Tumor/TMA4/TMA 4 Level 1_Core[1,13,1]_[20356,50108].tif","/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 1_Core[1,13,1]_[20356,50108]",success,20.3,"/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 1_Core[1,13,1]_[20356,50108]/batch_run.log"
"/data_g1/AI_projects/raw_data/PCITB_CRC/HE_raw_images/Tumor/TMA4/TMA 4 Level 16_Core[1,12,8]_[13099,50268].tif","/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 16_Core[1,12,8]_[13099,50268]",success,22.5,"/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 4 Level 16_Core[1,12,8]_[13099,50268]/batch_run.log"
